,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
,FaZe Clan,Shanks,ASUS ROG Harpe Ace,1000,400,0.4,160,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Rouge,ASUS ROG Falchion RX Low Profile,HyperX Cloud II
,MOUZ,iluri,Razer Deathadder V3 Pro Black,4000,800,0.32,256,1,ZOWIE XL2546K,1280x960,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro Black
,MOUZ,Obnoks,Razer Deathadder V3 Pro Black,1000,400,0.333,131.2,1,AOC AG254FG,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
,G2 Esports,icy,ZOWIE EC2-CW,1000,1600,0.17,272,0.95,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft Orange,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset
,G2 Esports,JonahP,Logitech G Pro X Superlight 2 White,1000,400,0.5,200,1,ZOWIE XL2546,1920x1080,GameSense Radar Purple,Wooting 60 HE,Sennheiser GAME ZERO
,G2 Esports,valyn,Logitech G Pro X Superlight 2 Magenta,1000,1600,0.15,240,1,ZOWIE XL2566K,1920x1080,Logitech G640 Black,Wooting 60 HE,Logitech G Pro X Headset
,G2 Esports,ShahZaM,Lamzu Thorn White,1000,800,0.265,212,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
,G2 Esports,leaf,Logitech G Pro X Superlight 2 White,2000,1600,0.065,104.00,1,ZOWIE XL2566K,1280x1024,Artisan FX Hien XSoft Wine Red,Wooting 60 HE,HyperX Cloud II
,G2 Esports,trent,Razer Viper V3 Pro Black,1000,1600,0.125,200,1.009,ZOWIE XL2546,1440x1080,Artisan FX Hien Soft,Wooting 60 HE,HyperX Cloud II
,Team Vitality,Destrian,Razer Viper V2 Pro White,,,,,,,,VAXEE PA FunSpark V2,,
,Team Vitality,runneR,Razer Viper V3 Pro Black,1000,400,0.44,176,,,1280x960,Xtrfy GP5 Vitality 10th Anniversary,Xtrfy K5 Compact RGB Black,JBL Quantum One
,Team Vitality,Kicks,Razer Viper V3 Pro Black,1000,800,0.27,216,,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
,Team Vitality,Sayf,Logitech G Pro X Superlight Red,1000,400,0.6,240.00,1.3,ASUS ROG SWIFT PG259QN,1280x1024,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
,Team Vitality,trexx,G-Wolves Hati-M White Sapphire Stardust,1000,800,0.226,180.8,1,ZOWIE XL2546K,1920x1080,VAXEE PA ZYGEN,Anne Pro 2,HyperX Cloud Alpha S
,Team Vitality,ceNder,Razer Deathadder V3 Pro White,1000,400,0.35,140,1,AlienWare AW2518HF,1920x1080,ZOWIE G-SR-SE Rouge,Ducky One 2 Mini,HyperX Cloud Alpha S
,Natus Vincere,ardiis,Logitech G Pro X Superlight White,1000,800,0.27,216,1,AOC AG251FZ2E,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Natus Vincere,Crazyface,Logitech G Pro X Superlight 2 Black,1000,800,0.4,320.00,1,ZOWIE XL2566K,1920x1080,ASUS ROG Hone Ace Aim Lab,Wooting 60 HE,Logitech G PRO X 2 Headset Black
,Natus Vincere,Suygetsu,Razer Deathadder V3 Pro White,1000,800,0.26,208.00,1.1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft,Logitech G Pro X 60,Logitech G Pro X Headset
,Natus Vincere,Zyppan,Logitech G Pro X Superlight 2 Black,1000,800,0.24,192,1,,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,
,Natus Vincere,ANGE1,Razer Deathadder V3 Pro White,1000,800,0.5,400,1,ZOWIE XL2546,1920x1080,Artisan Type 99 Gray,Logitech G Pro X TKL Keyboard Black,HyperX Cloud Revolver
,Natus Vincere,Shao,Razer Deathadder V3 Pro Black,1000,800,0.35,280,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X 60,HyperX Cloud II
,Cloud9,runi,Logitech G Pro X Superlight 2 Magenta,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
,Cloud9,Xeppaa,ZOWIE EC2-CW,1000,1600,0.175,280,1,ZOWIE XL2566K,1280x960,ZOWIE G-SR-SE Gris,HyperX Alloy Origins Core,HyperX Cloud II
,Cloud9,Moose,Razer Deathadder V3 Pro White,1000,800,0.33,264,1,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,HyperX Cloud II Wireless
,Cloud9,OXY,Logitech G Pro X Superlight Black,1000,800,0.23,184,0.914,,1600x1024,ZOWIE G-SR-SE Gris,Wooting 60 HE,Sennheiser HD 599
,Cloud9,vanity,VAXEE ZYGEN NP-01S Wireless Black,1000,1600,0.141,225.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II
,Team Liquid,Mendo,Logitech G Pro X Superlight White,1000,450,0.55,247.5,1,Alienware AW2521H,1440x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 1990 PRO
,Team Liquid,bstrdd,Logitech G Pro X Superlight 2 Black,2000,800,0.29,232,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud III
,Team Liquid,Jamppi,ZOWIE EC1-CW,1000,800,0.317,253.56,1.009,Alienware AW2523HF,1440x1080,VAXEE PB,Alienware AW420K,HyperX Cloud II
,Team Liquid,Keiko,Lamzu Thorn Black,1000,800,0.25,200,1,Alienware AW2523HF,1280x960,Artisan FX Hien Mid,Wooting 60 HE,
,Team Liquid,Enzo,Lamzu Atlantis,1000,800,0.314,251.2,1,Alienware AW2523HF,1440x1080,VAXEE PB,Razer Huntsman V2,HyperX Cloud III
,Team Liquid,Mistic,Logitech G Pro X Superlight Magenta,1000,800,0.24,192,1,Alienware AW2523HF,1280x960,VAXEE PA FunSpark,Wooting 60 HE,HyperX Cloud II
,Team Liquid,nAts,ZOWIE EC2-CW,1000,800,0.49,392,1,Alienware AW2523HF,1280x960,VAXEE PA Black,Razer Huntsman V3 Pro TKL Black,HyperX Cloud III
,Team Liquid,frttt,ZOWIE EC2,1000,1600,0.755,1208,1,Alienware AW2521HF,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
,Team Liquid,joojina,Lamzu Thorn Black,1000,800,0.4,320,,Alienware AW2521HF,1920x1080,VAXEE PA FunSpark,Alienware AW420K,HyperX Cloud II
,Team Liquid,bizerra,Logitech G Pro X Superlight Black,1000,800,0.26,208,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero Soft,Alienware AW420K,HyperX Cloud III
,Fnatic,Leo,Razer Deathadder V3 Pro White,1000,400,0.41,164,1,ZOWIE XL2566K,1280x1024,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,
,Fnatic,Boaster,Fnatic x Lamzu Maya 8K (Unreleased),1000,400,0.49,196,1,ZOWIE XL2566K,1920x1080,Fnatic FOCUS3 MAX,Wooting 60 HE,Logitech G Pro X Headset
,Fnatic,Alfajer,Razer Deathadder V3 Pro White,1000,400,0.45,180,1,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,HyperX Cloud II
,Fnatic,Derke,Logitech G Pro X Superlight 2 White,2000,400,0.74,296.00,1.00,ASUS ROG PG27AQDM,2560x1440,Logitech G640 Original,Razer Huntsman V3 Pro TKL Black,HyperX Cloud II Gun Metal
,Fnatic,Chronicle,Ninjutso Sora V2,4000,800,0.2,160.00,0.95,ASUS ROG PG27AQDM,2560x1440,La Onda BLITZ,Razer Huntsman V3 Pro TKL Black,beyerdynamic MMX 300
,Fnatic,hiro,Logitech G Pro X Superlight Black,8000,1600,0.12,192,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft Orange,Corsair K70 RGB TKL,HyperX Cloud II
,FURIA,Khalil,Logitech G Pro X Superlight Black,1000,1600,0.21,336,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Gris,Razer Huntsman V3 Pro Mini,HyperX Cloud II
,FURIA,mwzera,Razer Viper V3 Pro White,2000,1600,0.14,224.00,0.89,ZOWIE XL2546K,1280x1024,SteelSeries QcK Heavy,Razer Huntsman V3 Pro Mini,HyperX Cloud II
,FURIA,xand,Razer Viper V3 Pro White,1000,1600,0.25,400,0.9,ZOWIE XL2546K,1920x1080,VAXEE PA FunSpark V2,Razer Huntsman V3 Pro Mini,HyperX Cloud Alpha
,FURIA,nzr,Logitech G Pro X Superlight 2 Magenta,1000,800,0.45,360,1,ZOWIE XL2566K,1920x1080,VAXEE PA PRIZM,Razer Huntsman V3 Pro Mini,HyperX Cloud II
,FURIA,havoc,Logitech G Pro X Superlight Black,1000,800,0.37,296,,AOC AG251FZ,1920x1080,Artisan Ninja FX Zero Mid,Razer Huntsman V3 Pro Mini,HyperX Cloud II
,Apeks,soulcas,Lamzu Atlantis Mini Pro,4000,1600,0.121,193.60,0.88,Alienware AW2521H,2560x1440,Artisan Type 99 Matcha,Wooting 60 HE,HyperX Cloud II
,Apeks,AvovA,Razer Viper V3 Pro White,4000,1600,0.15,240.00,1.1,ZOWIE XL2546,1920x1080,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro TKL Black,Logitech G Pro X Wireless Headset
,Apeks,MOLSI,Razer Viper V3 Pro Black,1000,1600,0.135,216.00,1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud III
,Apeks,hype,VAXEE ZYGEN NP-01 Wireless Black,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Razer BlackShark V2 Pro Black
,MIBR,tteuw,Logitech G402,1000,2000,0.375,750,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
,MIBR,jzz,Razer Viper V3 Pro Black,1000,800,0.3,240,1,,1920x1080,VAXEE PA FunSpark V2,Logitech G Pro X Keyboard,HyperX Cloud II Gun Metal
,MIBR,RgLM,Razer Viper V3 Pro Black,,800,0.4,320,,,,ZOWIE G-SR-SE Gris,Razer Huntsman V3 Pro TKL Black,HyperX Cloud II
,MIBR,liazzi,Razer DeathAdder V3 Pro Faker Edition,4000,800,0.6,480,,AOC AG251FZ,1280x960,SteelSeries QcK Heavy,Wooting 60 HE,Logitech G Pro X Wireless Headset
,MIBR,mazin,ZOWIE EC2-CW,1000,800,0.35,280,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Razer Huntsman V3 Pro TKL Black,HyperX Cloud II
,MIBR,artzin,Razer Viper V3 Pro White,1000,1600,0.3,480,,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
,Bilibili Gaming,Knight,Logitech G Pro X Superlight Black,1000,400,0.691,276.4,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,HyperX Cloud II
,Bilibili Gaming,yosemite,Xtrfy M8 Frosty Mint,1000,800,0.3,240,,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,
,Bilibili Gaming,biank,VAXEE XE Wireless White,,800,0.314,251.2,,ZOWIE XL2566K,1440x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,
,Bilibili Gaming,whzy,Razer Viper V3 Pro Black,1000,1600,0.13,208.00,1,ZOWIE XL2566K,1600x1024,VAXEE PA Y22,Razer Huntsman V3 Pro Mini,
,All Knights,adverso,Logitech G Pro X Superlight White,1000,400,0.5,200,1,,1920x1080,X-raypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless
,3DMAX,Davidp,Logitech G Pro X Superlight Black,1000,400,0.68,272,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Xtrfy K4 RGB,HyperX Cloud II
,S2G,russ,ZOWIE EC2-CW,1000,800,0.45,360,1,ASUS TUF VG259QM,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
,S2G,AsLanM4shadoW,Logitech G Pro X Superlight Red,1000,400,0.45,180,0.9,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,Razer BlackWidow X Chroma Mercury,HyperX Cloud II
,S2G,aimdll,Razer Deathadder V3 Pro Black,1000,800,0.27,216,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Razer BlackWidow Elite,HyperX Cloud II
,Ovation Esports,Luzuh,Razer Deathadder V3 Pro Black,1000,400,0.541,216,1,ZOWIE XL2540,1280x960,Razer Gigantus V2,Razer Huntsman V3 Pro,Razer BlackShark V2
,Rex Regum Qeon,Monyet,ZOWIE EC2-CW,1000,400,0.632,252.8,1,ZOWIE XL2546K,1920x1080,Logitech G640 Black,Wooting 60 HE,HyperX Cloud II Pink
,TBK Esports,DeNaro,Razer Viper Ultimate,1000,400,0.520,208,1,Acer Predator XB252Q,1920x1080,Razer Gigantus,HyperX Alloy FPS,
